path,role,lines,module_description,imports,top_level_symbols
backend/app/agents/release_risk_agent.py,implementation/configuration,657,Release Risk Agent (Stage 6).,app.agents.base; app.agents.consistency; app.agents.evidence; app.core.config; app.db.postgres; app.models.agent_contracts; app.models.llm_schemas; app.models.postgres; app.services.agent_investigation_service; app.services.agent_memory_service; app.services.criticality_service; app.services.failure_kind; app.services.kind_evidence; app.services.llm_factory; app.services.llm_json_parser; app.services.policy_evaluator_service; app.services.prompt_registry; app.services.redaction_service; asyncio; datetime; json; sqlalchemy; structlog; types; uuid,ReleaseRiskAgent
backend/app/agents/report_refinement_agent.py,implementation/configuration,288,Report Refinement Agent (AIQ-P4).,app.agents.base; app.agents.evidence; app.models.agent_contracts; structlog; typing,_as_list; ReportRefinementAgent
backend/app/agents/reviewer_agent.py,implementation/configuration,753,Generic reviewer with deterministic and bounded independent model checks.,__future__; app.agents.base; app.agents.consistency; app.db.postgres; app.models.agent_contracts; app.models.postgres; app.services.agent_capability_registry; app.services.agent_catalog; app.services.agent_config_resolver; app.services.llm_factory; app.services.llm_json_parser; app.services.pipeline_budget_service; app.services.prompt_registry; app.services.review_supervisor; app.services.step_llm_budget; json; math; pydantic; re; sqlalchemy; typing; uuid,_ClaimExtraction; _SecondModelAssessment; _walk; _values; _bounded; _without_hidden_reasoning; _response_text; _allowed_reference_ids; _schema_payload; _schema_check; _grounding_check; _numeric_check; _consistency_report; _consistency_checks; _policy_checks; review_payload; _self_consistency_check; _second_model_check; _verdict_with_model_checks; validate_review_verdict; ReviewerAgent
backend/app/agents/run_compare_agent.py,implementation/configuration,233,AI agent for grounded two-run comparison reports.,__future__; app.models.agent_contracts; app.services.llm_factory; app.services.llm_json_parser; app.services.prompt_registry; json; structlog; typing,RunCompareAgent; build_validated_fallback_report; _top_deltas; _build_context; build_fallback_report; _recommended_actions; _markdown_from_report
backend/app/agents/state.py,implementation/configuration,198,LangGraph workflow state shared across all pipeline agents.,typing; typing_extensions,_merge_dicts; _concat_lists; _dedup_concat_lists; _merge_error_dicts; _last_str; _last_bool; _last_int; _last_optional_str; WorkflowState
backend/app/agents/summary_agent.py,implementation/configuration,1661,Test Summary Agent — Stage 4 of the offline pipeline.,app.agents.base; app.agents.consistency; app.core.config; app.core.metrics; app.db.mongo; app.db.postgres; app.models.agent_contracts; app.models.llm_schemas; app.models.postgres; app.services.agent_capability_registry; app.services.agent_config_resolver; app.services.agent_memory_service; app.services.evidence_catalogue; app.services.executive_panel_builder; app.services.llm_factory; app.services.llm_json_parser; app.services.model_router; app.services.pipeline_budget_service; app.services.prompt_registry; app.services.redaction_service; app.services.resilience; app.services.semantic_search; app.services.step_llm_budget; app.services.tier_comparison_service; asyncio; datetime; hashlib; json; pydantic; sqlalchemy; structlog; typing; uuid,_prompt_version_tag; _hash_text; _hash_json; SummaryLLMUnavailable; _layer_has_content; _format_results_line; SummaryAgent; _extract_text
backend/app/agents/test_health_agent.py,test,249,Test Health Agent.,app.agents.base; app.db.mongo; app.db.postgres; app.models.agent_contracts; app.models.postgres; re; sqlalchemy; structlog,_looks_like_source_code; _analyze_source; TestHealthAgent
backend/app/agents/triage_agent.py,implementation/configuration,399,Defect Triage Agent — Stage 5 of the offline pipeline.,app.agents.base; app.core.config; app.db.postgres; app.models.agent_contracts; app.models.postgres; app.services.action_policy; app.services.jira_client; app.services.pipeline_lease; app.services.tool_call_idempotency; sqlalchemy; sqlalchemy.dialects.postgresql; structlog,_outcome_unknown_result; DefectTriageAgent
backend/app/agents/workflow.py,implementation/configuration,3970,LangGraph workflow orchestration for the multi-agent pipeline.,app.agents.analysis_agent; app.agents.anomaly_agent; app.agents.change_ownership_agent; app.agents.cluster_agent; app.agents.contract_agent; app.agents.decision_report_agent; app.agents.decision_report_critic_agent; app.agents.deep_persistence; app.agents.defect_commander; app.agents.flaky_sentinel_agent; app.agents.gap_detection_agent; app.agents.ingestion_agent; app.agents.log_intelligence_agent; app.agents.regression_watchman; app.agents.release_risk_agent; app.agents.report_refinement_agent; app.agents.reviewer_agent; app.agents.state; app.agents.summary_agent; app.agents.test_health_agent; app.agents.triage_agent; app.agents.workflow_compiler; app.core.config; app.core.metrics; app.db.postgres; app.db.redis_client; app.models.agent_contracts; app.models.enums; app.models.postgres; app.services; app.services.agent_action_ledger_service; app.services.agent_authority_lock; app.services.agent_capability_registry; app.services.agent_config_resolver; app.services.agent_config_service; app.services.agent_investigation_service; app.services.agent_memory_service; app.services.agent_planner; app.services.agent_step_tracing; app.services.ai_config_resolver; app.services.analysis_router; app.services.cluster_investigation_orchestrator; app.services.decision_report_supersession_service; app.services.eval_provenance_service; app.services.evidence_sanitizer; app.services.feature_flags; app.services.llm_cost_budget; app.services.llm_cost_reservation; app.services.pipeline_budget_service; app.services.pipeline_cancellation; app.services.pipeline_event_log; app.services.pipeline_lease; app.services.prompt_registry; app.services.review_request_service; app.services.run_downstream_outbox; app.services.run_input_fingerprint; app.services.step_llm_budget; app.services.workflow_definition_service; app.services.workflow_run_state; app.services.workflow_step_context; asyncio; contextlib; datetime; functools; hashlib; importlib.metadata; json; langgraph.graph; sqlalchemy; structlog; time; typing; uuid,_safe_workflow_error; _canonical_checksum; _stage_input_checksum; _runtime_version_snapshot; _checkpoint_restore_metadata; _prompt_registry_versions; _resolve_analysis_mode_snapshot; ingestion_node; anomaly_node; analysis_node; summary_node; triage_node; cluster_node; cluster_investigation_dispatch_node; cluster_investigation_join_node; contract_validation_node; log_intelligence_node; defect_commander_node; regression_watchman_node; change_ownership_node; gap_detection_node; report_refinement_node; flaky_sentinel_node; test_health_node; release_risk_node; decision_report_node; decision_report_critic_node; _append_route_decision; _emit_route_decision; _route_after_ingestion; _route_after_summary; _route_after_summary_deep; workflow_node_executors; _reviewed_step_model_provenance; _workflow_runtime_executors; _definition_checksum; _workflow_runtime_authority_checksum; _workflow_runtime_authority_valid; _compile_frozen_workflow; _workflow_runtime_state; _frozen_workflow_authority_valid; _checkpoint_authority_matches; _build_offline_graph; _build_deep_graph; _build_live_graph; _checkpoint_stage; _state_field_reducers; _merge_checkpoint_stage_state; _load_checkpoint; _claim_pipeline_resume; resume_pipeline; _persist_execution_context; _prepare_pipeline_cost_budget; _apply_pipeline_cost_budget; _complete_cost_budget_block; _safe_serialize; _planner_stage_selection; _pipeline_deadline; _deadline_exhausted; _raise_if_pipeline_cancelled; _normalize_step_result_identity; _make_checkpointed_node; _stage_tool_allowlist; _persist_deep_outputs; run_offline_pipeline; run_deep_pipeline; _write_stage_skipped; _mark_stage_executed; _mark_stage_failed; _mark_stage_restored; _persist_memory; _create_pipeline_run; _tag_failure_with_pipeline; _mark_pipeline_done
backend/app/agents/workflow_compiler.py,implementation/configuration,741,Semantic validation and LangGraph compilation for workflow definitions.,__future__; app.agents.state; app.agents.workflow; app.models.enums; app.services.agent_capability_registry; app.services.agent_config_service; app.services.workflow_definition_service; collections; collections.abc; dataclasses; langgraph.graph; typing,WorkflowValidation; CompiledWorkflow; WorkflowCompileError; _FieldSpec; _config_document; _value_at; _kind; _condition_errors; _project_state; _compare; evaluate_condition; _normalise_configs; _edge_sources; _entry_and_dominators; validate_workflow; _branch_router; compile_workflow
backend/app/bootstrap.py,implementation/configuration,389,,__future__; app.core.config; app.core.deps; app.core.metrics; app.db.redis_client; app.middleware.request_hardening; app.middleware.scim_request_limit; app.middleware.telemetry; app.routers; app.routers.health; app.routers.observability; app.services.agent_operational_metrics; app.worker.ingestion_routing; collections.abc; fastapi; fastapi.middleware.cors; inspect; prometheus_fastapi_instrumentator; starlette.routing; structlog; uvicorn.middleware.proxy_headers,_add_request_hardening; configure_middlewares; install_proxy_boundary; configure_metrics; register_routers; _refresh_celery_queue_depths; _install_celery_queue_depth_collector
backend/app/core/__init__.py,implementation/configuration,0,,,
backend/app/core/config.py,implementation/configuration,948,TestLookup — Application Configuration,functools; json; os; pydantic; pydantic_settings; re; typing; urllib.parse,_is_placeholder_secret; _uri_password; Settings; get_settings
backend/app/core/deps.py,implementation/configuration,1663,"Dependencies for FastAPI (authentication, authorisation, webhook security).",app.core.config; app.core.metrics; app.core.release_filter; app.core.security; app.core.token_revocation; app.db.postgres; app.db.redis_client; app.models.postgres; dataclasses; datetime; fastapi; fastapi.security; hashlib; hmac; jose; json; logging; sqlalchemy; sqlalchemy.ext.asyncio; time; typing; uuid,AuthorizedTestCaseContext; _normalize_user_role; _bind_api_key_project; _api_key_bound_project; _bind_credential_kind; credential_kind; _normalized_scopes; ApiKeyGrant; _refuse_scoped_key_without_project_admin; _is_write; _refuse_scoped_key_without_write_scope; _refuse_scoped_key_write; takes_scoped_key_writes; _route_takes_scoped_key_writes; _bind_api_key_grant; api_key_grant; _enforce_api_key_project_binding; _count_auth_failure; get_current_user; ApiKeyContext; _validate_api_key; _bearer_user_or_fall_through; get_current_user_or_api_key; get_current_active_user; StreamingApiKeyContext; get_streaming_api_key_context; get_api_key_context; require_role; require_instance_admin; require_project_role; get_accessible_project_ids; _membership_signature; _sign_membership_cache; _verify_membership_cache; _warn_membership_cache_degraded; _warn_membership_cache_tampered; resolve_project_scope; invalidate_membership_cache; require_project_access; require_run_access; resolve_authorized_test_case; _make_project_scoped_guard; require_release_access; require_knowledge_source_access; require_generation_batch_access; require_live_session_access; require_api_key_owner; require_session_access; require_link_access; verify_webhook_secret; resolve_release_query_scope
backend/app/core/http_client.py,implementation/configuration,176,Shared outbound HTTP client configuration.,__future__; app.core.config; app.services.url_safety; asyncio; httpx; logging; ssl; typing,http_verify; public_http_verify; get_http_client; get_public_http_client; close_http_client
backend/app/core/logging_config.py,implementation/configuration,216,TestLookup — Structured logging configuration.,app.core.config; app.services.redaction_service; logging; opentelemetry; structlog; structlog.types; sys; typing,_add_otel_trace_context; _privacy_redaction; _safe_repr; _add_service_info; configure_logging
backend/app/core/metrics.py,implementation/configuration,622,TestLookup — Prometheus custom application metrics.,prometheus_client,
backend/app/core/release_filter.py,implementation/configuration,70,The release-filter vocabulary shared by the routers and the services.,__future__; app.models.postgres; uuid,is_unattributed; release_predicate
backend/app/core/scim_errors.py,implementation/configuration,75,Standards-compliant error envelopes for the public SCIM protocol surface.,app.models.schemas; fastapi; fastapi.exception_handlers; fastapi.exceptions; fastapi.responses; starlette.exceptions,SCIMJSONResponse; _is_scim_request; _scim_error; scim_http_exception_handler; scim_validation_exception_handler
backend/app/core/security.py,implementation/configuration,149,JWT authentication and security utilities.,app.core.config; bcrypt; datetime; hashlib; jose; secrets; typing; uuid,_bcrypt_bytes; verify_password; get_password_hash; hash_token; create_access_token; create_refresh_token; create_mfa_token; decode_token
backend/app/core/token_revocation.py,implementation/configuration,348,Access-token revocation — Redis-backed denylist for JWT access tokens.,__future__; app.core.config; app.core.metrics; app.db.postgres; app.db.redis_client; datetime; sqlalchemy; structlog; typing; uuid,_durable_execute; _durable_required; RevocationUnavailable; _count; _unavailable; _redis; revoke_jti; is_jti_revoked; revoke_all_user_tokens; is_token_before_cutoff
backend/app/core/tracing.py,implementation/configuration,212,TestLookup — OpenTelemetry distributed tracing setup.,contextlib; logging; opentelemetry; opentelemetry.exporter.otlp.proto.http.trace_exporter; opentelemetry.instrumentation.fastapi; opentelemetry.instrumentation.httpx; opentelemetry.instrumentation.redis; opentelemetry.instrumentation.sqlalchemy; opentelemetry.sdk.resources; opentelemetry.sdk.trace; opentelemetry.sdk.trace.export; typing,_otlp_trace_endpoint; setup_tracing; _apply_auto_instrumentors; _try; _instrument_fastapi; _instrument_sqlalchemy; _instrument_httpx; _instrument_redis; get_tracer; get_current_trace_id; _NoopTracer; _NoopSpan
backend/app/db/__init__.py,implementation/configuration,0,,,
backend/app/db/chroma.py,implementation/configuration,70,Shared ChromaDB client factory.,__future__; app.core.config; app.services.storage_config_service; asyncio; chromadb; chromadb.config; logging; typing,get_chroma_client; get_configured_chroma_client
backend/app/db/compose_budget_gate.py,implementation/configuration,57,One-shot Docker Compose connection-budget gate.,__future__; collections.abc; os; structlog,calculate; main
backend/app/db/loop_bound.py,implementation/configuration,51,Reset every client cache that is bound to a specific event loop.,__future__; app.db.mongo; app.db.redis_client,reset_loop_bound_clients
backend/app/db/migration_lock.py,implementation/configuration,102,The singleton lock every online ``alembic upgrade`` holds (re-audit N24).,__future__; asyncio; collections.abc; contextlib; logging; os; sqlalchemy; sqlalchemy.ext.asyncio; time,MigrationLockTimeout; _wait_seconds_from_env; migration_singleton_lock
backend/app/db/migration_retry.py,implementation/configuration,100,Bounded retry support for establishing the Alembic database connection.,__future__; asyncio; collections.abc; errno; socket; typing,is_retryable_connection_error; connect_with_retry
backend/app/db/mongo.py,implementation/configuration,142,Async MongoDB client using Motor.,app.core.config; logging; motor.motor_asyncio; typing,get_mongo_client; get_mongo_db; reset_mongo_client; close_mongo; ensure_indexes; Collections
backend/app/db/postgres.py,implementation/configuration,318,Async PostgreSQL database session factory using SQLAlchemy.,app.core.config; app.services.test_management_metrics_service; functools; sqlalchemy; sqlalchemy.ext.asyncio; sqlalchemy.orm; typing,Base; _pool_size; _max_overflow; get_effective_pool_config; evaluate_server_connection_budget; verify_server_connection_budget; get_engine; get_session_factory; _SessionFactoryProxy; __getattr__; get_db; init_db; close_db; dispose_engine_for_loop
backend/app/db/redis_client.py,implementation/configuration,41,Async Redis client with connection pooling.,app.core.config; redis.asyncio; typing,get_redis_pool; get_redis; close_redis
backend/app/db/storage.py,implementation/configuration,406,"Storage Provider abstraction for S3, MinIO, and Local File System.",abc; aioboto3; app.core.config; app.services.storage_config_service; asyncio; botocore.client; botocore.exceptions; functools; logging; os; pathlib; typing,StorageProvider; _is_missing_bucket; _require_prefix; S3StorageProvider; LocalStorageProvider; _get_concrete_storage_provider; DynamicStorageProvider; get_storage_provider
